Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Multiple Races,Total,Footnotes
United States,9.50%,21.70%,17.60%,10.20%,25.90%,14.10%,0.128,1
Alabama,11.90%,24.70%,24.40%,11.40%,14.40%,18.40%,0.16,
Alaska,7.80%,25.10%,13.00%,N/A,20.60%,12.40%,0.11,
Arizona,8.90%,16.80%,17.10%,11.10%,34.80%,10.50%,0.129,
Arkansas,13.70%,27.20%,21.80%,11.60%,11.70%,15.70%,0.164,
California,9.00%,19.40%,15.20%,10.10%,22.50%,11.70%,0.123,
Colorado,7.70%,17.70%,14.80%,8.20%,15.60%,11.60%,0.099,
Connecticut,6.80%,14.50%,19.60%,8.00%,N/A,10.10%,0.101,
Delaware,7.30%,17.00%,20.20%,7.20%,N/A,18.00%,0.112,
District of Columbia,5.00%,28.00%,9.00%,17.40%,N/A,15.80%,0.165,
Florida,10.00%,20.20%,15.70%,9.80%,21.50%,13.70%,0.131,
Georgia,9.50%,20.30%,19.70%,9.00%,27.00%,15.20%,0.141,
Hawaii,11.80%,25.70%,13.50%,9.60%,N/A,12.50%,0.113,
Idaho,10.10%,N/A,13.90%,14.30%,17.30%,15.30%,0.112,
Illinois,8.50%,24.30%,14.30%,10.40%,28.40%,14.00%,0.12,
Indiana,10.10%,20.40%,18.50%,17.00%,N/A,16.70%,0.121,
Iowa,9.40%,31.20%,17.20%,13.90%,41.10%,14.60%,0.111,
Kansas,9.60%,27.70%,18.00%,9.90%,N/A,17.70%,0.12,
Kentucky,15.30%,24.80%,26.10%,9.60%,42.40%,19.40%,0.165,
Louisiana,12.30%,32.10%,20.80%,18.80%,26.20%,26.20%,0.196,
Maine,11.70%,30.20%,6.90%,25.50%,N/A,13.80%,0.122,
Maryland,6.60%,14.10%,15.60%,9.00%,N/A,11.50%,0.102,
Massachusetts,7.60%,14.50%,23.40%,10.20%,12.40%,10.50%,0.104,
Michigan,10.60%,26.20%,18.40%,9.40%,18.60%,14.90%,0.133,
Minnesota,7.40%,16.50%,12.60%,11.70%,34.60%,11.50%,0.089,
Mississippi,11.50%,31.10%,24.10%,12.50%,N/A,22.90%,0.194,
Missouri,10.70%,23.50%,17.70%,12.00%,15.70%,16.70%,0.127,
Montana,9.50%,N/A,14.90%,N/A,34.40%,11.60%,0.113,
Nebraska,8.10%,22.10%,15.70%,10.80%,21.10%,19.50%,0.102,
Nevada,11.10%,25.80%,15.70%,11.90%,15.20%,14.40%,0.141,
New Hampshire,6.90%,N/A,11.90%,N/A,N/A,6.40%,0.07,
New Jersey,6.60%,15.80%,18.60%,5.60%,N/A,9.10%,0.103,
New Mexico,13.80%,25.80%,20.60%,8.70%,29.90%,14.80%,0.187,
New York,9.50%,20.10%,21.00%,14.60%,24.50%,15.40%,0.139,
North Carolina,9.60%,21.20%,23.40%,8.60%,24.20%,15.70%,0.137,
North Dakota,8.40%,N/A,N/A,N/A,30.10%,N/A,0.098,
Ohio,10.50%,27.50%,21.20%,11.00%,18.70%,18.90%,0.133,
Oklahoma,12.80%,27.10%,20.70%,16.10%,18.50%,17.00%,0.155,
Oregon,11.50%,19.80%,15.80%,13.20%,19.80%,13.10%,0.125,
Pennsylvania,9.00%,24.30%,23.70%,11.70%,19.30%,17.00%,0.121,
Rhode Island,7.50%,23.20%,22.60%,14.10%,59.90%,13.60%,0.115,
South Carolina,10.10%,24.60%,21.10%,13.60%,24.80%,19.80%,0.149,
South Dakota,7.90%,N/A,21.90%,16.80%,52.60%,17.30%,0.125,
Tennessee,11.30%,22.00%,19.40%,9.70%,N/A,17.90%,0.137,
Texas,8.40%,19.30%,19.50%,8.20%,21.80%,12.40%,0.143,
Utah,7.10%,21.10%,11.60%,6.70%,35.90%,8.40%,0.082,
Vermont,10.00%,N/A,N/A,N/A,N/A,13.70%,0.104,
Virginia,7.90%,16.90%,14.70%,7.40%,N/A,11.40%,0.103,
Washington,8.50%,20.10%,16.70%,8.50%,18.90%,10.20%,0.102,
West Virginia,16.00%,28.80%,22.20%,N/A,N/A,25.70%,0.168,
Wisconsin,8.70%,27.80%,18.60%,11.50%,18.10%,14.90%,0.109,
Wyoming,10.20%,N/A,13.70%,N/A,43.30%,7.30%,0.114,
Puerto Rico,35.20%,44.40%,40.50%,N/A,N/A,36.50%,0.404,
