Location,White,Black,Hispanic,Asian/Native Hawaiian and Pacific Islander,American Indian/Alaska Native,Multiple Races,Total,Footnotes
United States,0.095,0.217,0.176,0.102,0.259,0.141,0.128,1
Alabama,0.119,0.247,0.244,0.114,0.144,0.184,0.16,
Alaska,0.078,0.251,0.13,N/A,0.206,0.124,0.11,
Arizona,0.089,0.168,0.171,0.111,0.348,0.105,0.129,
Arkansas,0.137,0.272,0.218,0.116,0.117,0.157,0.164,
California,0.09,0.194,0.152,0.101,0.225,0.117,0.123,
Colorado,0.077,0.177,0.148,0.082,0.156,0.116,0.099,
Connecticut,0.068,0.145,0.196,0.08,N/A,0.101,0.101,
Delaware,0.073,0.17,0.202,0.072,N/A,0.18,0.112,
District of Columbia,0.05,0.28,0.09,0.174,N/A,0.158,0.165,
Florida,0.1,0.202,0.157,0.098,0.215,0.137,0.131,
Georgia,0.095,0.203,0.197,0.09,0.27,0.152,0.141,
Hawaii,0.118,0.257,0.135,0.096,N/A,0.125,0.113,
Idaho,0.101,N/A,0.139,0.143,0.173,0.153,0.112,
Illinois,0.085,0.243,0.143,0.104,0.284,0.14,0.12,
Indiana,0.101,0.204,0.185,0.17,N/A,0.167,0.121,
Iowa,0.094,0.312,0.172,0.139,0.411,0.146,0.111,
Kansas,0.096,0.277,0.18,0.099,N/A,0.177,0.12,
Kentucky,0.153,0.248,0.261,0.096,0.424,0.194,0.165,
Louisiana,0.123,0.321,0.208,0.188,0.262,0.262,0.196,
Maine,0.117,0.302,0.069,0.255,N/A,0.138,0.122,
Maryland,0.066,0.141,0.156,0.09,N/A,0.115,0.102,
Massachusetts,0.076,0.145,0.234,0.102,0.124,0.105,0.104,
Michigan,0.106,0.262,0.184,0.094,0.186,0.149,0.133,
Minnesota,0.074,0.165,0.126,0.117,0.346,0.115,0.089,
Mississippi,0.115,0.311,0.241,0.125,N/A,0.229,0.194,
Missouri,0.107,0.235,0.177,0.12,0.157,0.167,0.127,
Montana,0.095,N/A,0.149,N/A,0.344,0.116,0.113,
Nebraska,0.081,0.221,0.157,0.108,0.211,0.195,0.102,
Nevada,0.111,0.258,0.157,0.119,0.152,0.144,0.141,
New Hampshire,0.069,N/A,0.119,N/A,N/A,0.064,0.07,
New Jersey,0.066,0.158,0.186,0.056,N/A,0.091,0.103,
New Mexico,0.138,0.258,0.206,0.087,0.299,0.148,0.187,
New York,0.095,0.201,0.21,0.146,0.245,0.154,0.139,
North Carolina,0.096,0.212,0.234,0.086,0.242,0.157,0.137,
North Dakota,0.084,N/A,N/A,N/A,0.301,N/A,0.098,
Ohio,0.105,0.275,0.212,0.11,0.187,0.189,0.133,
Oklahoma,0.128,0.271,0.207,0.161,0.185,0.17,0.155,
Oregon,0.115,0.198,0.158,0.132,0.198,0.131,0.125,
Pennsylvania,0.09,0.243,0.237,0.117,0.193,0.17,0.121,
Rhode Island,0.075,0.232,0.226,0.141,0.599,0.136,0.115,
South Carolina,0.101,0.246,0.211,0.136,0.248,0.198,0.149,
South Dakota,0.079,N/A,0.219,0.168,0.526,0.173,0.125,
Tennessee,0.113,0.22,0.194,0.097,N/A,0.179,0.137,
Texas,0.084,0.193,0.195,0.082,0.218,0.124,0.143,
Utah,0.071,0.211,0.116,0.067,0.359,0.084,0.082,
Vermont,0.1,N/A,N/A,N/A,N/A,0.137,0.104,
Virginia,0.079,0.169,0.147,0.074,N/A,0.114,0.103,
Washington,0.085,0.201,0.167,0.085,0.189,0.102,0.102,
West Virginia,0.16,0.288,0.222,N/A,N/A,0.257,0.168,
Wisconsin,0.087,0.278,0.186,0.115,0.181,0.149,0.109,
Wyoming,0.102,N/A,0.137,N/A,0.433,0.073,0.114,
Puerto Rico,0.352,0.444,0.405,N/A,N/A,0.365,0.404,
